#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Tue Oct 03 17:18:16 EDT 2017,68,68,Assignment3Suite,BuildTest1+ BuildTest2+ BuildTest3+ DelMinTest3+ EfficiencyTest1+ GetMinTest2+ InsertTest1+ InsertTest2+ InsertTest3+ SizeTest1+ SizeTest2+ SizeTest3+ SizeTest4+ , ,DelMinTest1- DelMinTest2- DelMinTest4- EverythingTest- GetMinTest1- GetMinTest3- , ,
1,Tue Oct 03 17:25:35 EDT 2017,68,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest2+ DelMinTest3 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMinTest1 DelMinTest4 EfficiencyTest1- EverythingTest GetMinTest1 GetMinTest3 , ,
2,Tue Oct 03 17:27:23 EDT 2017,78,10,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1+ DelMinTest2 DelMinTest3 EfficiencyTest1+ GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMinTest4 EverythingTest GetMinTest1 GetMinTest3 , ,
3,Tue Oct 03 17:29:15 EDT 2017,78,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 EfficiencyTest1 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMinTest4 EverythingTest GetMinTest1 GetMinTest3 , ,
4,Tue Oct 03 17:30:28 EDT 2017,47,-31,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 EfficiencyTest1 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 , ,DelMinTest1- DelMinTest2- DelMinTest3- DelMinTest4 EverythingTest GetMinTest1 GetMinTest3 SizeTest2- SizeTest3- SizeTest4- , ,
5,Wed Oct 04 06:25:23 EDT 2017,47,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 EfficiencyTest1 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest3 SizeTest2 SizeTest3 SizeTest4 , ,
6,Wed Oct 04 06:29:16 EDT 2017,47,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 EfficiencyTest1 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest3 SizeTest2 SizeTest3 SizeTest4 , ,
7,Wed Oct 04 06:32:00 EDT 2017,84,37,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1+ DelMinTest2+ DelMinTest3+ DelMinTest4+ EfficiencyTest1 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2+ SizeTest3+ SizeTest4+ , ,EverythingTest GetMinTest1 GetMinTest3 , ,
8,Wed Oct 04 06:32:42 EDT 2017,42,-42,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 , ,DelMinTest1- DelMinTest2- DelMinTest3- DelMinTest4- EfficiencyTest1- EverythingTest GetMinTest1 GetMinTest3 SizeTest2- SizeTest3- SizeTest4- , ,
9,Wed Oct 04 06:33:02 EDT 2017,47,5,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 EfficiencyTest1+ GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest3 SizeTest2 SizeTest3 SizeTest4 , ,
10,Wed Oct 04 06:33:08 EDT 2017,47,0,BuildTestSuite,BuildTest1 BuildTest2 BuildTest3 EfficiencyTest1 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest3 SizeTest2 SizeTest3 SizeTest4 , ,
11,Wed Oct 04 06:33:24 EDT 2017,47,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 EfficiencyTest1 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest3 SizeTest2 SizeTest3 SizeTest4 , ,
12,Wed Oct 04 06:33:40 EDT 2017,47,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 EfficiencyTest1 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest3 SizeTest2 SizeTest3 SizeTest4 , ,
13,Wed Oct 04 17:05:51 EDT 2017,68,21,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1+ DelMinTest3+ GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2+ SizeTest3+ SizeTest4+ , ,DelMinTest2 DelMinTest4 EfficiencyTest1- EverythingTest GetMinTest1 GetMinTest3 , ,
